zipkey,state,zip,countyfips,county,bg2_terr,eq_risk_color,scs_terr
AK-98791,AK,98791,2016,ALEUTIANS WEST CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99501,AK,99501,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99502,AK,99502,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99503,AK,99503,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99504,AK,99504,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99505,AK,99505,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99506,AK,99506,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99507,AK,99507,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99508,AK,99508,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99509,AK,99509,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99510,AK,99510,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99511,AK,99511,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99512,AK,99512,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99513,AK,99513,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99514,AK,99514,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99515,AK,99515,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99516,AK,99516,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99517,AK,99517,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99518,AK,99518,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99519,AK,99519,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99520,AK,99520,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99521,AK,99521,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99522,AK,99522,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99523,AK,99523,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99524,AK,99524,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99529,AK,99529,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99530,AK,99530,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99540,AK,99540,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99545,AK,99545,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99546,AK,99546,2016,ALEUTIANS WEST CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99547,AK,99547,2016,ALEUTIANS WEST CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99548,AK,99548,2164,PENINSULA AND LAKE BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99549,AK,99549,2164,PENINSULA AND LAKE BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99550,AK,99550,2150,KODIAK ISLAND BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99551,AK,99551,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99552,AK,99552,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99553,AK,99553,2013,ALEUTIANS EAST BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99554,AK,99554,2270,KUSILVAK,AK-0,no eq zones,AK - Undefined
AK-99555,AK,99555,2070,DILLINGHAM CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99556,AK,99556,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99557,AK,99557,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99558,AK,99558,2290,YUKON-KOYUKUK CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99559,AK,99559,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99561,AK,99561,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99563,AK,99563,2270,KUSILVAK,AK-0,no eq zones,AK - Undefined
AK-99564,AK,99564,2164,PENINSULA AND LAKE BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99565,AK,99565,2164,PENINSULA AND LAKE BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99566,AK,99566,2261,VALDEZ-CORDOVA CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99567,AK,99567,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99568,AK,99568,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99569,AK,99569,2070,DILLINGHAM CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99571,AK,99571,2013,ALEUTIANS EAST BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99572,AK,99572,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99573,AK,99573,2261,VALDEZ-CORDOVA CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99574,AK,99574,2261,VALDEZ-CORDOVA CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99575,AK,99575,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99576,AK,99576,2070,DILLINGHAM CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99577,AK,99577,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99578,AK,99578,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99579,AK,99579,2164,PENINSULA AND LAKE BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99580,AK,99580,2070,DILLINGHAM CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99581,AK,99581,2270,KUSILVAK,AK-0,no eq zones,AK - Undefined
AK-99583,AK,99583,2013,ALEUTIANS EAST BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99584,AK,99584,2290,YUKON-KOYUKUK CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99585,AK,99585,2270,KUSILVAK,AK-0,no eq zones,AK - Undefined
AK-99586,AK,99586,2261,VALDEZ-CORDOVA CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99587,AK,99587,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99588,AK,99588,2261,VALDEZ-CORDOVA CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99589,AK,99589,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99590,AK,99590,2290,YUKON-KOYUKUK CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99591,AK,99591,2016,ALEUTIANS WEST CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99599,AK,99599,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99602,AK,99602,2290,YUKON-KOYUKUK CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99603,AK,99603,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99604,AK,99604,2270,KUSILVAK,AK-0,no eq zones,AK - Undefined
AK-99605,AK,99605,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99606,AK,99606,2164,PENINSULA AND LAKE BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99607,AK,99607,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99608,AK,99608,2150,KODIAK ISLAND BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99609,AK,99609,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99610,AK,99610,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99611,AK,99611,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99612,AK,99612,2013,ALEUTIANS EAST BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99613,AK,99613,2060,BRISTOL BAY BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99614,AK,99614,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99615,AK,99615,2150,KODIAK ISLAND BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99619,AK,99619,2150,KODIAK ISLAND BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99620,AK,99620,2270,KUSILVAK,AK-0,no eq zones,AK - Undefined
AK-99621,AK,99621,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99622,AK,99622,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99623,AK,99623,2170,MATANUSKA-SUSITNA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99624,AK,99624,2150,KODIAK ISLAND BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99625,AK,99625,2164,PENINSULA AND LAKE BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99626,AK,99626,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99627,AK,99627,2290,YUKON-KOYUKUK CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99628,AK,99628,2070,DILLINGHAM CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99629,AK,99629,2170,MATANUSKA-SUSITNA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99630,AK,99630,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99631,AK,99631,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99632,AK,99632,2270,KUSILVAK,AK-0,no eq zones,AK - Undefined
AK-99633,AK,99633,2060,BRISTOL BAY BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99634,AK,99634,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99635,AK,99635,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99636,AK,99636,2070,DILLINGHAM CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99637,AK,99637,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99638,AK,99638,2016,ALEUTIANS WEST CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99639,AK,99639,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99640,AK,99640,2164,PENINSULA AND LAKE BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99641,AK,99641,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99642,AK,99642,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99643,AK,99643,2150,KODIAK ISLAND BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99644,AK,99644,2150,KODIAK ISLAND BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99645,AK,99645,2170,MATANUSKA-SUSITNA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99647,AK,99647,2164,PENINSULA AND LAKE BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99648,AK,99648,2164,PENINSULA AND LAKE BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99649,AK,99649,2164,PENINSULA AND LAKE BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99650,AK,99650,2270,KUSILVAK,AK-0,no eq zones,AK - Undefined
AK-99651,AK,99651,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99652,AK,99652,2170,MATANUSKA-SUSITNA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99653,AK,99653,2164,PENINSULA AND LAKE BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99654,AK,99654,2170,MATANUSKA-SUSITNA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99655,AK,99655,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99656,AK,99656,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99657,AK,99657,2270,KUSILVAK,AK-0,no eq zones,AK - Undefined
AK-99658,AK,99658,2270,KUSILVAK,AK-0,no eq zones,AK - Undefined
AK-99659,AK,99659,2180,NOME CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99660,AK,99660,2016,ALEUTIANS WEST CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99661,AK,99661,2013,ALEUTIANS EAST BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99662,AK,99662,2270,KUSILVAK,AK-0,no eq zones,AK - Undefined
AK-99663,AK,99663,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99664,AK,99664,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99665,AK,99665,2290,YUKON-KOYUKUK CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99666,AK,99666,2270,KUSILVAK,AK-0,no eq zones,AK - Undefined
AK-99667,AK,99667,2170,MATANUSKA-SUSITNA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99668,AK,99668,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99669,AK,99669,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99670,AK,99670,2060,BRISTOL BAY BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99671,AK,99671,2180,NOME CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99672,AK,99672,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99674,AK,99674,2170,MATANUSKA-SUSITNA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99675,AK,99675,2290,YUKON-KOYUKUK CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99676,AK,99676,2170,MATANUSKA-SUSITNA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99677,AK,99677,2261,VALDEZ-CORDOVA CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99678,AK,99678,2070,DILLINGHAM CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99679,AK,99679,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99680,AK,99680,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99681,AK,99681,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99682,AK,99682,2122,KENAI PENINSULA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99683,AK,99683,2170,MATANUSKA-SUSITNA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99684,AK,99684,2180,NOME CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99685,AK,99685,2016,ALEUTIANS WEST CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99686,AK,99686,2261,VALDEZ-CORDOVA CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99687,AK,99687,2170,MATANUSKA-SUSITNA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99688,AK,99688,2170,MATANUSKA-SUSITNA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99689,AK,99689,2282,YAKUTAT BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99690,AK,99690,2050,BETHEL CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99691,AK,99691,2290,YUKON-KOYUKUK CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99692,AK,99692,2016,ALEUTIANS WEST CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99693,AK,99693,2261,VALDEZ-CORDOVA CENSUS AREA,AK-0,no eq zones,AK - Undefined
AK-99694,AK,99694,2170,MATANUSKA-SUSITNA BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99695,AK,99695,2020,ANCHORAGE MUNICIPALITY,AK-0,no eq zones,AK - Undefined
AK-99697,AK,99697,2150,KODIAK ISLAND BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99701,AK,99701,2090,FAIRBANKS NORTH STAR BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99702,AK,99702,2090,FAIRBANKS NORTH STAR BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99703,AK,99703,2090,FAIRBANKS NORTH STAR BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99704,AK,99704,2068,DENALI BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99705,AK,99705,2090,FAIRBANKS NORTH STAR BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99706,AK,99706,2090,FAIRBANKS NORTH STAR BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99707,AK,99707,2090,FAIRBANKS NORTH STAR BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99708,AK,99708,2090,FAIRBANKS NORTH STAR BOROUGH,AK-0,no eq zones,AK - Undefined
AK-99709,AK,99709,2090,FAIRBANKS NORTH STAR BOROUGH,AK-0,no eq zones,AK - Undefined
